======================================================================
TOP FEATURES BY CLUSTER RELEVANCE
Dataset: calcite-top30-sm-effort170-cov
Algorithm: DBSCAN
Samples: 18676, Features: 205
======================================================================

Rank   Feature                                               Relevance
162    PMD_upf                                                0.761494
163    HASSAN_ldhcm                                           0.748560
164    MOSER_refactorings                                     0.740682
165    PMD_uwoc                                               0.681367
166    PMD_if                                                 0.644532
167    MOSER_max_lines_deleted                                0.579721
168    PMD_clr                                                0.548537
169    PMD_ulbr                                               0.546834
170    HASSAN_edhcm                                           0.543456
171    MOSER_avg_code_churn                                   0.535948
172    ISSUE_other_other                                      0.502438
173    PMD_clmmic                                             0.497668
174    MOSER_avg_lines_added                                  0.484051
175    MOSER_avg_lines_deleted                                0.475119
176    PMD_li                                                 0.466267
177    HASSAN_lgdhcm                                          0.391519
178    MOSER_max_lines_added                                  0.342724
179    MOSER_sum_lines_added                                  0.334693
180    PMD_atnpe                                              0.332468
181    MOSER_max_code_churn                                   0.325046
182    MOSER_max_changeset                                    0.297962
183    ISSUE_trivial_improvement                              0.296294
184    PMD_pst                                                0.262626
185    MOSER_sum_code_churn                                   0.255796
186    MOSER_avg_changeset                                    0.234038
187    PMD_bgmn                                               0.203046
188    PMD_fdsbasoc                                           0.140607
189    PMD_vnc                                                0.135186
190    PMD_gn                                                 0.014621
191    PMD_uom                                                0.006406
192    PMD_dlnliss                                            0.000291
193    PMD_soe                                                0.000000
194    PMD_ismub                                              0.000000
195    PMD_sbe                                                0.000000
196    PMD_ews                                                0.000000
197    PMD_rule_type_brace rules                              0.000000
198    PMD_otac                                               0.000000
199    PMD_esnil                                              0.000000
200    ISSUE_critical_task                                    0.000000
201    PMD_pl                                                 0.000000
202    ISSUE_blocker_task                                     0.000000
203    PMD_gdl                                                0.000000
204    ISSUE_trivial_bug                                      0.000000
205    ISSUE_minor_test                                       0.000000

======================================================================
