======================================================================
TOP FEATURES BY CLUSTER RELEVANCE
Dataset: ant-ivy-top30-sm-effort-cov
Algorithm: DBSCAN
Samples: 2237, Features: 184
======================================================================

Rank   Feature                                               Relevance
163    SM_enum_pua_stdev                                      0.000000
164    SM_enum_ng_stdev                                       0.000000
165    SM_enum_nlg_stdev                                      0.000000
166    SM_enum_tnlpa_stdev                                    0.000000
167    SM_enum_tna_stdev                                      0.000000
168    SM_enum_tcloc_stdev                                    0.000000
169    SM_enum_na_stdev                                       0.000000
170    SM_enum_nla_stdev                                      0.000000
171    SM_enum_nlpa_stdev                                     0.000000
172    SM_enum_npa_stdev                                      0.000000
173    SM_enum_tnla_stdev                                     0.000000
174    SM_method_ci_min                                       0.000000
175    SM_enum_cco_min                                        0.000000
176    SM_enum_cboi_stdev                                     0.000000
177    SM_enum_ad_theil                                       0.000000
178    SM_enum_ad_atkinson                                    0.000000
179    SM_enum_ad_generalized_entropy                         0.000000
180    SM_method_cco_min                                      0.000000
181    SM_method_ccl_min                                      0.000000
182    SM_enum_dloc_stdev                                     0.000000
183    SM_enum_cloc_stdev                                     0.000000
184    PMD_act                                                0.000000

======================================================================
