filename,COV_INSTRUCTION,COV_BRANCH,COV_LINE,COV_COMPLEXITY,COV_METHOD
src/java/fr/jayasoft/ivy/matcher/ExactOrRegexpPatternMatcher.java,0.9591836734693877,1.0,0.9166666666666666,0.9,0.8571428571428571
src/java/fr/jayasoft/ivy/matcher/GlobPatternMatcher.java,0.7931034482758621,0.8333333333333334,0.7857142857142857,0.8,0.8571428571428571
src/java/fr/jayasoft/ivy/matcher/ModuleIdMatcher.java,1.0,1.0,1.0,1.0,1.0
src/java/fr/jayasoft/ivy/event/Trigger.java,0.0,0.0,0.0,0.0,0.0
src/java/fr/jayasoft/ivy/event/IvyEventFilter.java,0.9140625,0.8333333333333334,0.9,0.7727272727272727,1.0
src/java/fr/jayasoft/ivy/event/IvyEvent.java,0.5821917808219178,0.0,0.6571428571428571,0.5882352941176471,0.7692307692307693
src/java/fr/jayasoft/ivy/event/AbstractTrigger.java,0.8679245283018868,0.5,0.8125,0.7272727272727273,0.8
src/java/fr/jayasoft/ivy/event/FilteredIvyListener.java,0.6,1.0,0.6666666666666666,0.6,0.5
src/java/fr/jayasoft/ivy/event/IvyListener.java,0.0,0.0,0.0,0.0,0.0
src/java/fr/jayasoft/ivy/repository/AbstractRepository.java,0.65,0.6111111111111112,0.711864406779661,0.6206896551724138,0.75
src/java/fr/jayasoft/ivy/repository/TransferEvent.java,0.5232558139534884,0.5882352941176471,0.6101694915254238,0.5151515151515151,0.55
src/java/fr/jayasoft/ivy/repository/Repository.java,0.0,0.0,0.0,0.0,0.0
src/java/fr/jayasoft/ivy/repository/BasicResource.java,0.0,0.0,0.0,0.0,0.0
src/java/fr/jayasoft/ivy/repository/RepositoryCopyProgressListener.java,0.8723404255319149,0.5,0.875,0.7142857142857143,0.8333333333333334
src/java/fr/jayasoft/ivy/repository/ResourceHelper.java,0.6585365853658537,0.5,0.5,0.25,0.5
src/java/fr/jayasoft/ivy/repository/Resource.java,0.0,0.0,0.0,0.0,0.0
