filename,COV_INSTRUCTION,COV_BRANCH,COV_LINE,COV_COMPLEXITY,COV_METHOD,bug
avatica/core/src/main/java/com/google/protobuf/HBaseZeroCopyByteString.java,0.12195122,0,0.125,0.2,0.25,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaClientRuntimeException.java,0.311926606,0,0.444444444,0.666666667,0.75,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaConnection.java,0.275449102,0.193548387,0.307692308,0.129310345,0.176470588,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaDatabaseMetaData.java,0.585398084,0.009615385,0.245901639,0.256578947,0.30952381,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaJdbc41Factory.java,0.35483871,0,0.275362319,0.3125,0.3125,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaParameter.java,0.644144144,0.4,0.673076923,0.2,0.8,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaPreparedStatement.java,0,0,0,0,0,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaResultSet.java,0.101576182,0.083333333,0.127413127,0.03286385,0.029850746,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaResultSetMetaData.java,0.269230769,0,0.322580645,0.230769231,0.24,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaSeverity.java,0.756756757,0.8,0.857142857,0.769230769,0.8,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaSite.java,0.023517382,0.005434783,0.019379845,0.017045455,0.045454545,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaSqlException.java,0.255033557,0,0.179487179,0.214285714,0.272727273,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaStatement.java,0.230245232,0.136363636,0.279069767,0.166666667,0.205882353,0
avatica/core/src/main/java/org/apache/calcite/avatica/AvaticaUtils.java,0.666037736,0.666666667,0.609589041,0.586956522,0.571428571,0
