filename,COV_INSTRUCTION,COV_BRANCH,COV_LINE,COV_COMPLEXITY,COV_METHOD,bug
core/src/main/java/org/apache/calcite/adapter/clone/ListTable.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/adapter/enumerable/AggImpState.java,0.5,0.25,0.777777778,0.333333333,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumUtils.java,0.844897959,0.777777778,0.88,0.636363636,0.692307692,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,0.960602549,0.931818182,0.961538462,0.888888889,0.928571429,1
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregateRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableBindable.java,0,0,0,0,0,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCalc.java,0.936464088,0.666666667,0.956043956,0.714285714,0.818181818,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCalcRule.java,0.333333333,0,0.25,0.5,0.5,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCollect.java,0.915789474,0.5,1,0.666666667,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCollectRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableConvention.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,0.976744186,0.75,1,0.8,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelateRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableFilter.java,0.285714286,0.5,0.3125,0.3,0.333333333,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableFilterRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableFilterToCalcRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableInterpretable.java,0.305755396,0.428571429,0.26984127,0.115384615,0.105263158,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableInterpreter.java,0.964285714,0.75,1,0.875,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableInterpreterRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableIntersect.java,0,0,0,0,0,1
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableIntersectRule.java,0.205882353,0,0.222222222,0.333333333,0.5,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableJoin.java,0.838596491,0.666666667,0.852941176,0.5625,0.857142857,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableJoinRule.java,0.902097902,1,0.842105263,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableLimit.java,0.715,0.666666667,0.761904762,0.4375,0.5,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableLimitRule.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoin.java,0.457627119,0.5,0.44,0.5,0.833333333,1
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,0.962962963,0.857142857,0.933333333,0.777777778,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMinus.java,0,0,0,0,0,1
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMinusRule.java,0.205882353,0,0.2,0.333333333,0.5,0
